Question,Answer,Quality
Who was the most perfectly Developed Man in the World?,Al Treloar,1
How many cash prizes did Al Treloar win?,"1,000",0
Who made a film of Treloar's posing routine?,Thomas Edison,1
How many films did Thomas Edison make of Sandow a few years before?,Two,0
How many motion pictures did Thomas Edison make of Sandow?,Three,1
Who promoted the competition in the 20th century?,Macfadden and Charles Atlas,0
Who wrote some of the most important bodybuilders in the early history of bodybuilding prior to 1930?,Earle Liederman,0
When was hip hop as music and culture formed in New York City?,The 1970s,1
How many people in New York City have been described as an outlet and a voice for the disenfranchised youth of marginalized backgrounds and low,35,0
What countries were many of the people who helped establish hip hop culture?,Latin American or Caribbean,0
What was the reason for the influx of African American youth from the United States and Puerto Ricans in the 1970s?,Multicultural nature of New York City,1
What were the early pioneers of hip hop influenced by?,A mix of music from their cultures and the cultures they were exposed to,1
What type of music did the Americanborn Jamaican youth come of age during the 1990s?,Jamaican,0
What was the cause of the cultural shifts in New York City?,Heightened immigration of Jamaicans to New York City and the Americanborn Jamaican youth who were coming of age during the 1990s,1
What is DJ Kool Herc?,Jamaican DJ,0
What was Kool Herc's 1973 release?,Back to School Jam,1
"Where were African American, Caribbean and Latino youth residing in the 1970s?",Bronx,1
What genres of music did DJs play in the 1970s?,Funk and soul music,1
What kind of reception did DJs begin isolating?,Positive,0
What technique was common in Jamaican dub music?,Percussive breaks,1
Who was one of the pioneers of hip hop?,DJ Kool Herc,0
How many percussive breaks did Herc and other DJs use to extend the break?,Two turntables,1
In what country was impromptu toasting common?,Jamaican,1
On what date was Kool Herc DJ at his sister's backtoschool party?,"August 11, 1973",0
What did Kool Herc do by using a mixer to switch between the two records?,Percussion breaks,0
What did Herc's experiment with making music with record players become?,Breaking or scratching,1
What is the second key musical element in hip hop music called?,Emceeing,1
What is the rhythmic spoken delivery of rhymes and wordplay?,Emceeing,1
What style of capping was influenced by?,African American,0
What is emceeing?,MCing and rapping,1
What role did the MC play in Jamaica?,Master of Ceremonies,1
Who founded Apple Computer Company?,"Steve Jobs, Steve Wozniak, and Ronald Wayne",1
What was the name of the first product of Apple Computer Company?,Apple I,1
What was Jobs' only motorized means of transportation?,VW Bus,1
When did the Apple I debut?,Jul-76,1
"What was Apple I sold as a motherboard with CPU, RAM, and basic textualvideo chips?",A base kit concept,0
How much did the Apple I go on sale in 2021?,US 666.66,0
What did Wozniak say he liked the price of the Apple I?,Repeating digits,0
"How many years was Apple Computer, Inc. incorporated on January 3, 1977?",23 24,0
"Who provided essential business expertise and funding of US 250,000 equivalent to 1,117,930 in 2021?",Mike Markkula,1
How did Apple's revenue grow during the first five years of operations?,Revenues grew exponentially,0
How much did Apple's annual sales increase between September 1977 and September 1980?,118 million,1
When was the Apple II introduced?,"April 16, 1977",1
What was the name of the first product that Apple was invented by Wozniak?,The Apple II,0
Which two types of computers were created because of their cell-based color graphics and open architecture?,TRS80 and Commodore PET,1
What was the name of the floppy disk drive that was introduced in 1978?,Disk II,1
When was VisiCalc released?,1979,1
What was chosen to be the desktop platform for the first killer application of the business world VisiCalc?,Apple II,0
What was Apple's third place competitor to Commodore and Tandy before VisiCalc?,Third place competitor,0
When did Apple become the leading computer manufacturer in the US?,The end of the 1970s,1
How many shares did AAPL sell in 1980?,4.6 million,1
How many people were created by the end of the day?,300 millionaires,0
When was the Macintosh released?,1984,1
Where did Jef Raskin visit to see a demonstration of the Xerox Alto?,Xerox PARC,1
Which company granted Apple a patent for a computer using a graphical user interface?,Xerox,1
When did natural language processing have its roots?,1950s,0
Who published Computing Machinery and Intelligence in 1950?,Alan Turing,1
What does the Turing test involve?,Automated interpretation and generation of natural language,1
Who wrote a Chinese room experiment on the premise of symbolic NLP?,John Searle,1
In what year did the Georgetown experiment involve fully automatic translation of more than sixty Russian sentences into English?,1954,1
How long did the authors claim machine translation would be a solved problem?,Three or five years,0
What was the ALPAC report in 1966 that found failed to fulfill the expectations of machine translation?,Tenyearlong research,0
When were the first statistical machine translation systems developed?,Late 1980s,1
What simulation of a Rogerian psychotherapist was written by Joseph Weizenbaum between 1964 and 1966?,ELIZA,1
What did ELIZA provide a generic response when the patient exceeded the very small knowledge base?,Humanlike interaction,0
What did ELIZA respond to when the patient exceeded the very small knowledge base?,My head hurts,0
When did programmers begin to write conceptual ontologies?,1970s,1
What was the name of the company that wrote Plot Units Lehnert 1981?,Politics Carbonell,1
What was the name of the first chatterbots written?,PARRY,1
When were the first chatterbots written?,1980s and early 1990s,1
What was HPSG a computational operationalization of generative grammar?,Twolevel morphology ,0
What was written with Racter and Jabberwacky?,Chatterbots,0
What was an important development that led to the statistical turn in the 1990s?,Quantitative evaluation,1
What were most natural language processing systems based on?,Complex sets of handwritten rules,1
What type of algorithm was introduced in the late 1980s?,Machine learning algorithms,1
What was the main reason for the increase in computational power?,Moore's law,1
What specification accomplishes several highlevel goals?,CubeSat,0
What is the main reason for the CubeSat specification?,Miniaturizing satellites,1
What does the CubeSat design specifically do?,Minimizes risk to the rest of the launch vehicle and payloads,1
What takes away the amount of work that would previously be required for mating a piggyback satellite with its launcher?,Encapsulation of the launcher payload interface,1
What does unification among payloads and launchers do?,Quick exchanges of payloads and utilization of launch opportunities on short notice,1
What are standard CubeSats made up of?,10 cm 10 cm 11.35 cm 3.94 in 3.94 in 4.47,0
What is the smallest standard size of CubeSats?,1U,1
How many larger form factors are composed of 3Us stacked side by side?,17 18,0
What is the smallest standard size CubeSat?,2U,1
What mission launched two 6U cubesats towards Mars in 2018?,Mars Cube One MarCO mission,1
How many smaller CubeSats are there?,21,0
How large are most CubeSats?,10 cm 10,1
Who developed a polyPicoSatellite Orbital Deployer PPOD?,Cal Poly,1
What has consistently utilized certain features that many treat as standards in CubeSat electronics?,COTS hardware,0
What is the size of the PC that allows most of the spacecraft's volume to be occupied?,90 mm 96 mm 3.5 in 3.8 in profile,1
What is the variant of PC 104 used 25?,PCI104,0
What allows for simple assembly and electrical interfacing?,Stackthrough connectors,1
What type of radiation can be ignored for very low Earth orbits?,LEO,1
Where are only fly hardware designed for and tested?,Irradiated environments,0
What do missions beyond low Earth orbit have to use?,Radiationhardened,0
